home_team,away_team,home_score,away_score,date,season
Athletic Club,Barcelona,1.0,0.0,2019-08-16,2020
Celta Vigo,Real Madrid,1.0,3.0,2019-08-17,2020
Valencia,Real Sociedad,1.0,1.0,2019-08-17,2020
Atlético Madrid,Getafe,1.0,0.0,2019-08-18,2020
Atlético Madrid,Getafe,1.0,0.0,2019-08-18,2020
Granada,Sevilla,0.0,1.0,2019-08-23,2020
Celta Vigo,Valencia,1.0,0.0,2019-08-24,2020
Getafe,Athletic Club,1.0,1.0,2019-08-24,2020
Mallorca,Real Sociedad,0.0,1.0,2019-08-25,2020
Barcelona,Betis,5.0,2.0,2019-08-25,2020
Barcelona,Betis,5.0,2.0,2019-08-25,2020
Sevilla,Celta Vigo,1.0,1.0,2019-08-30,2020
Athletic Club,Real Sociedad,2.0,0.0,2019-08-30,2020
Getafe,Alavés,1.0,1.0,2019-08-31,2020
Osasuna,Barcelona,2.0,2.0,2019-08-31,2020
Getafe,Alavés,1.0,1.0,2019-08-31,2020
Valencia,Mallorca,2.0,0.0,2019-09-01,2020
Mallorca,Athletic Club,0.0,0.0,2019-09-13,2020
Real Sociedad,Atlético Madrid,2.0,0.0,2019-09-14,2020
Barcelona,Valencia,5.0,2.0,2019-09-14,2020
Real Sociedad,Atlético Madrid,2.0,0.0,2019-09-14,2020
Betis,Getafe,1.0,1.0,2019-09-15,2020
Celta Vigo,Granada,0.0,2.0,2019-09-15,2020
Alavés,Sevilla,0.0,1.0,2019-09-15,2020
Betis,Getafe,1.0,1.0,2019-09-15,2020
Alavés,Sevilla,0.0,1.0,2019-09-15,2020
Osasuna,Betis,0.0,0.0,2019-09-20,2020
Osasuna,Betis,0.0,0.0,2019-09-20,2020
Atlético Madrid,Celta Vigo,0.0,0.0,2019-09-21,2020
Atlético Madrid,Celta Vigo,0.0,0.0,2019-09-21,2020
Granada,Barcelona,2.0,0.0,2019-09-21,2020
Sevilla,Real Madrid,0.0,1.0,2019-09-22,2020
Getafe,Mallorca,4.0,2.0,2019-09-22,2020
Athletic Club,Alavés,2.0,0.0,2019-09-22,2020
Athletic Club,Alavés,2.0,0.0,2019-09-22,2020
Mallorca,Atlético Madrid,0.0,2.0,2019-09-25,2020
Real Madrid,Osasuna,2.0,0.0,2019-09-25,2020
Valencia,Getafe,3.0,3.0,2019-09-25,2020
Mallorca,Atlético Madrid,0.0,2.0,2019-09-25,2020
Real Sociedad,Alavés,3.0,0.0,2019-09-26,2020
Real Sociedad,Alavés,3.0,0.0,2019-09-26,2020
Atlético Madrid,Real Madrid,0.0,0.0,2019-09-28,2020
Atlético Madrid,Real Madrid,0.0,0.0,2019-09-28,2020
Getafe,Barcelona,0.0,2.0,2019-09-28,2020
Athletic Club,Valencia,0.0,1.0,2019-09-28,2020
Alavés,Mallorca,2.0,0.0,2019-09-29,2020
Sevilla,Real Sociedad,3.0,2.0,2019-09-29,2020
Alavés,Mallorca,2.0,0.0,2019-09-29,2020
Valencia,Alavés,2.0,1.0,2019-10-05,2020
Real Madrid,Granada,4.0,2.0,2019-10-05,2020
Valencia,Alavés,2.0,1.0,2019-10-05,2020
Real Sociedad,Getafe,1.0,2.0,2019-10-06,2020
Barcelona,Sevilla,4.0,0.0,2019-10-06,2020
Celta Vigo,Athletic Club,1.0,0.0,2019-10-06,2020
Granada,Osasuna,1.0,0.0,2019-10-18,2020
Mallorca,Real Madrid,1.0,0.0,2019-10-19,2020
Atlético Madrid,Valencia,1.0,1.0,2019-10-19,2020
Atlético Madrid,Valencia,1.0,1.0,2019-10-19,2020
Alavés,Celta Vigo,2.0,0.0,2019-10-20,2020
Real Sociedad,Betis,3.0,1.0,2019-10-20,2020
Alavés,Celta Vigo,2.0,0.0,2019-10-20,2020
Real Sociedad,Betis,3.0,1.0,2019-10-20,2020
Atlético Madrid,Athletic Club,2.0,0.0,2019-10-26,2020
Atlético Madrid,Athletic Club,2.0,0.0,2019-10-26,2020
Granada,Betis,1.0,0.0,2019-10-27,2020
Celta Vigo,Real Sociedad,0.0,1.0,2019-10-27,2020
Osasuna,Valencia,3.0,1.0,2019-10-27,2020
Sevilla,Getafe,2.0,0.0,2019-10-27,2020
Granada,Betis,1.0,0.0,2019-10-27,2020
Alavés,Atlético Madrid,1.0,1.0,2019-10-29,2020
Alavés,Atlético Madrid,1.0,1.0,2019-10-29,2020
Betis,Celta Vigo,2.0,1.0,2019-10-30,2020
Betis,Celta Vigo,2.0,1.0,2019-10-30,2020
Valencia,Sevilla,1.0,1.0,2019-10-30,2020
Getafe,Granada,3.0,1.0,2019-10-31,2020
Mallorca,Osasuna,2.0,2.0,2019-10-31,2020
Real Madrid,Betis,0.0,0.0,2019-11-02,2020
Real Madrid,Betis,0.0,0.0,2019-11-02,2020
Sevilla,Atlético Madrid,1.0,1.0,2019-11-02,2020
Sevilla,Atlético Madrid,1.0,1.0,2019-11-02,2020
Granada,Real Sociedad,1.0,2.0,2019-11-03,2020
Osasuna,Alavés,4.0,2.0,2019-11-03,2020
Celta Vigo,Getafe,0.0,1.0,2019-11-03,2020
Osasuna,Alavés,4.0,2.0,2019-11-03,2020
Barcelona,Celta Vigo,4.0,1.0,2019-11-09,2020
Valencia,Granada,2.0,0.0,2019-11-09,2020
Getafe,Osasuna,0.0,0.0,2019-11-10,2020
Betis,Sevilla,1.0,2.0,2019-11-10,2020
Betis,Sevilla,1.0,2.0,2019-11-10,2020
Granada,Atlético Madrid,1.0,1.0,2019-11-23,2020
Real Madrid,Real Sociedad,3.0,1.0,2019-11-23,2020
Granada,Atlético Madrid,1.0,1.0,2019-11-23,2020
Betis,Valencia,2.0,1.0,2019-11-23,2020
Betis,Valencia,2.0,1.0,2019-11-23,2020
Osasuna,Athletic Club,1.0,2.0,2019-11-24,2020
Mallorca,Betis,1.0,2.0,2019-11-30,2020
Alavés,Real Madrid,1.0,2.0,2019-11-30,2020
Mallorca,Betis,1.0,2.0,2019-11-30,2020
Alavés,Real Madrid,1.0,2.0,2019-11-30,2020
Atlético Madrid,Barcelona,0.0,1.0,2019-12-01,2020
Athletic Club,Granada,2.0,0.0,2019-12-01,2020
Atlético Madrid,Barcelona,0.0,1.0,2019-12-01,2020
Barcelona,Mallorca,5.0,2.0,2019-12-07,2020
Granada,Alavés,3.0,0.0,2019-12-07,2020
Granada,Alavés,3.0,0.0,2019-12-07,2020
Osasuna,Sevilla,1.0,1.0,2019-12-08,2020
Betis,Athletic Club,3.0,2.0,2019-12-08,2020
Betis,Athletic Club,3.0,2.0,2019-12-08,2020
Real Sociedad,Barcelona,2.0,2.0,2019-12-14,2020
Atlético Madrid,Osasuna,2.0,0.0,2019-12-14,2020
Atlético Madrid,Osasuna,2.0,0.0,2019-12-14,2020
Valencia,Real Madrid,1.0,1.0,2019-12-15,2020
Celta Vigo,Mallorca,2.0,2.0,2019-12-15,2020
Barcelona,Real Madrid,0.0,0.0,2019-12-18,2020
Mallorca,Sevilla,0.0,2.0,2019-12-21,2020
Barcelona,Alavés,4.0,1.0,2019-12-21,2020
Barcelona,Alavés,4.0,1.0,2019-12-21,2020
Betis,Atlético Madrid,1.0,2.0,2019-12-22,2020
Real Madrid,Athletic Club,0.0,0.0,2019-12-22,2020
Osasuna,Real Sociedad,3.0,4.0,2019-12-22,2020
Betis,Atlético Madrid,1.0,2.0,2019-12-22,2020
Sevilla,Athletic Club,1.0,1.0,2020-01-03,2020
Getafe,Real Madrid,0.0,3.0,2020-01-04,2020
Granada,Mallorca,1.0,0.0,2020-01-05,2020
Alavés,Betis,1.0,1.0,2020-01-05,2020
Celta Vigo,Osasuna,1.0,1.0,2020-01-05,2020
Alavés,Betis,1.0,1.0,2020-01-05,2020
Real Madrid,Sevilla,2.0,1.0,2020-01-18,2020
Mallorca,Valencia,4.0,1.0,2020-01-19,2020
Athletic Club,Celta Vigo,1.0,1.0,2020-01-19,2020
Barcelona,Granada,1.0,0.0,2020-01-19,2020
Betis,Real Sociedad,3.0,0.0,2020-01-19,2020
Betis,Real Sociedad,3.0,0.0,2020-01-19,2020
Valencia,Barcelona,2.0,0.0,2020-01-25,2020
Sevilla,Granada,2.0,0.0,2020-01-25,2020
Real Sociedad,Mallorca,3.0,0.0,2020-01-26,2020
Getafe,Betis,1.0,0.0,2020-01-26,2020
Getafe,Betis,1.0,0.0,2020-01-26,2020
Valencia,Celta Vigo,1.0,0.0,2020-02-01,2020
Real Madrid,Atlético Madrid,1.0,0.0,2020-02-01,2020
Real Madrid,Atlético Madrid,1.0,0.0,2020-02-01,2020
Athletic Club,Getafe,0.0,2.0,2020-02-02,2020
Sevilla,Alavés,1.0,1.0,2020-02-02,2020
Sevilla,Alavés,1.0,1.0,2020-02-02,2020
Getafe,Valencia,3.0,0.0,2020-02-08,2020
Atlético Madrid,Granada,1.0,0.0,2020-02-08,2020
Atlético Madrid,Granada,1.0,0.0,2020-02-08,2020
Celta Vigo,Sevilla,2.0,1.0,2020-02-09,2020
Betis,Barcelona,2.0,3.0,2020-02-09,2020
Real Sociedad,Athletic Club,2.0,1.0,2020-02-09,2020
Osasuna,Real Madrid,1.0,4.0,2020-02-09,2020
Betis,Barcelona,2.0,3.0,2020-02-09,2020
Valencia,Atlético Madrid,2.0,2.0,2020-02-14,2020
Valencia,Atlético Madrid,2.0,2.0,2020-02-14,2020
Mallorca,Alavés,1.0,0.0,2020-02-15,2020
Barcelona,Getafe,2.0,1.0,2020-02-15,2020
Mallorca,Alavés,1.0,0.0,2020-02-15,2020
Athletic Club,Osasuna,0.0,1.0,2020-02-16,2020
Real Madrid,Celta Vigo,2.0,2.0,2020-02-16,2020
Betis,Mallorca,3.0,3.0,2020-02-21,2020
Betis,Mallorca,3.0,3.0,2020-02-21,2020
Real Sociedad,Valencia,3.0,0.0,2020-02-22,2020
Alavés,Athletic Club,2.0,1.0,2020-02-23,2020
Getafe,Sevilla,0.0,3.0,2020-02-23,2020
Alavés,Athletic Club,2.0,1.0,2020-02-23,2020
Osasuna,Granada,0.0,3.0,2020-02-23,2020
Valencia,Betis,2.0,1.0,2020-02-29,2020
Granada,Celta Vigo,0.0,0.0,2020-02-29,2020
Valencia,Betis,2.0,1.0,2020-02-29,2020
Sevilla,Osasuna,3.0,2.0,2020-03-01,2020
Real Madrid,Barcelona,2.0,0.0,2020-03-01,2020
Mallorca,Getafe,0.0,1.0,2020-03-01,2020
Alavés,Valencia,1.0,1.0,2020-03-06,2020
Alavés,Valencia,1.0,1.0,2020-03-06,2020
Barcelona,Real Sociedad,1.0,0.0,2020-03-07,2020
Getafe,Celta Vigo,0.0,0.0,2020-03-07,2020
Atlético Madrid,Sevilla,2.0,2.0,2020-03-07,2020
Atlético Madrid,Sevilla,2.0,2.0,2020-03-07,2020
Betis,Real Madrid,2.0,1.0,2020-03-08,2020
Betis,Real Madrid,2.0,1.0,2020-03-08,2020
Sevilla,Betis,2.0,0.0,2020-06-11,2020
Sevilla,Betis,2.0,0.0,2020-06-11,2020
Granada,Getafe,2.0,1.0,2020-06-12,2020
Mallorca,Barcelona,0.0,4.0,2020-06-13,2020
Athletic Club,Atlético Madrid,1.0,1.0,2020-06-14,2020
Real Sociedad,Osasuna,1.0,1.0,2020-06-14,2020
Athletic Club,Atlético Madrid,1.0,1.0,2020-06-14,2020
Betis,Granada,2.0,2.0,2020-06-15,2020
Betis,Granada,2.0,2.0,2020-06-15,2020
Osasuna,Atlético Madrid,0.0,5.0,2020-06-17,2020
Osasuna,Atlético Madrid,0.0,5.0,2020-06-17,2020
Alavés,Real Sociedad,2.0,0.0,2020-06-18,2020
Alavés,Real Sociedad,2.0,0.0,2020-06-18,2020
Real Madrid,Valencia,3.0,0.0,2020-06-18,2020
Sevilla,Barcelona,0.0,0.0,2020-06-19,2020
Athletic Club,Betis,1.0,0.0,2020-06-20,2020
Athletic Club,Betis,1.0,0.0,2020-06-20,2020
Real Sociedad,Real Madrid,1.0,2.0,2020-06-21,2020
Celta Vigo,Alavés,6.0,0.0,2020-06-21,2020
Valencia,Osasuna,2.0,0.0,2020-06-21,2020
Celta Vigo,Alavés,6.0,0.0,2020-06-21,2020
Barcelona,Athletic Club,1.0,0.0,2020-06-23,2020
Real Madrid,Mallorca,2.0,0.0,2020-06-24,2020
Alavés,Osasuna,0.0,1.0,2020-06-24,2020
